Trade_open,Trade_close,Session,Position,Bias,Profile,Entry,Confirmation,Fvg_level,Stop_loss_pips,Take_profit_pips,Risk_to_reward,Risk_usd,Profit_loss,Trail_stop,Outcome,Balance,Duration,Duration_binned,Time_window,Day,Month,Year,Stop_loss_binned,Take_profit_binned,Risk_usd_binned,Risk_to_reward_binned
2024-09-23 13:55:03,2024-09-23 13:57:27,ny am,sell,ohlc,ny reversal,ob,eq,,9.0,18.0,2.0,18.0,-18.0,no,loss,3335.35,0 days 00:02:24,below_2_hrs,12:00-16:00,Monday,September,2024,below_10_pips,below_21_pips,below_$20,0_to_2_rr
2024-09-23 14:12:05,2024-09-23 14:15:47,ny am,sell,ohlc,ny reversal,ob,eq,,15.0,30.0,2.0,30.0,-30.0,no,loss,3305.35,0 days 00:03:42,below_2_hrs,12:00-16:00,Monday,September,2024,above_12_pips,21_to_35_pips,above_$25,0_to_2_rr
2024-09-25 14:09:12,2024-09-25 14:49:10,ny am,sell,ohlc,ny manipulation,ob,fvg,low,10.0,27.0,2.7,20.0,54.0,yes,win,3359.35,0 days 00:39:58,below_2_hrs,12:00-16:00,Wednesday,September,2024,below_10_pips,21_to_35_pips,below_$20,2.6_to_3.2_rr
2024-09-30 14:51:34,2024-09-30 14:53:36,ny am,sell,ohlc,london reversal,brkr,vi,,12.0,28.0,2.33333,24.0,-24.0,no,loss,3335.35,0 days 00:02:02,below_2_hrs,12:00-16:00,Monday,September,2024,10_to_12_pips,21_to_35_pips,$20_to_$25,2_to_2.6_rr
2024-10-02 12:58:08,2024-10-02 13:01:53,ny am,buy,olhc,london reversal,brkr,eq,,10.0,23.0,2.3,20.0,-20.0,no,loss,3315.35,0 days 00:03:45,below_2_hrs,12:00-16:00,Wednesday,October,2024,below_10_pips,21_to_35_pips,below_$20,2_to_2.6_rr
2024-10-08 13:56:27,2024-10-08 14:27:29,ny am,buy,olhc,london reversal,brkr,eq,,10.0,20.0,2.0,20.0,-20.0,no,loss,3295.35,0 days 00:31:02,below_2_hrs,12:00-16:00,Tuesday,October,2024,below_10_pips,below_21_pips,below_$20,0_to_2_rr
2024-10-08 16:29:22,2024-10-08 16:44:00,ny pm,buy,olhc,london reversal,brkr,eq,,10.0,20.0,2.0,20.0,-20.0,no,loss,3275.35,0 days 00:14:38,below_2_hrs,16:00-20:00,Tuesday,October,2024,below_10_pips,below_21_pips,below_$20,0_to_2_rr
2024-10-09 15:06:53,2024-10-09 15:07:51,ny am,sell,ohlc,london reversal,brkr,eq,,10.0,29.0,2.9,20.0,-20.0,no,loss,3255.35,0 days 00:00:58,below_2_hrs,12:00-16:00,Wednesday,October,2024,below_10_pips,21_to_35_pips,below_$20,2.6_to_3.2_rr
2024-10-10 13:53:54,2024-10-10 14:30:03,ny am,sell,ohlc,london reversal,ob,eq,,14.0,35.0,2.5,28.0,70.0,yes,win,3325.35,0 days 00:36:09,below_2_hrs,12:00-16:00,Thursday,October,2024,above_12_pips,21_to_35_pips,above_$25,2_to_2.6_rr
2024-10-11 13:34:11,2024-10-11 13:51:20,ny am,sell,ohlc,ny reversal,ob,eq,,10.0,29.0,2.9,20.0,-20.0,no,loss,3305.35,0 days 00:17:09,below_2_hrs,12:00-16:00,Friday,October,2024,below_10_pips,21_to_35_pips,below_$20,2.6_to_3.2_rr
2024-10-11 14:00:48,2024-10-11 14:43:04,ny am,sell,ohlc,ny reversal,ob,eq,,8.0,35.0,4.375,16.0,-16.0,no,loss,3289.35,0 days 00:42:16,below_2_hrs,12:00-16:00,Friday,October,2024,below_10_pips,21_to_35_pips,below_$20,above_3.2_rr
2024-10-11 16:19:04,2024-10-11 17:43:17,ny pm,sell,ohlc,ny reversal,ob,fvg,low,8.0,27.0,3.375,16.0,-16.0,no,loss,3273.35,0 days 01:24:13,below_2_hrs,16:00-20:00,Friday,October,2024,below_10_pips,21_to_35_pips,below_$20,above_3.2_rr
2024-10-15 17:25:08,2024-10-16 06:00:05,ny pm,buy,olhc,london reversal,ob,fvg,low,12.0,38.0,3.16667,24.0,-24.0,no,loss,3249.35,0 days 12:34:57,above_2_hrs,16:00-20:00,Tuesday,October,2024,10_to_12_pips,above_35_pips,$20_to_$25,2.6_to_3.2_rr
2024-10-17 14:48:15,2024-10-17 15:27:02,ny am,sell,ohlc,ny reversal,ob,eq,,10.0,34.0,3.4,20.0,-20.0,no,loss,3229.35,0 days 00:38:47,below_2_hrs,12:00-16:00,Thursday,October,2024,below_10_pips,21_to_35_pips,below_$20,above_3.2_rr
2024-10-18 15:41:35,2024-10-18 15:54:22,ny am,buy,olhc,ny manipulation,brkr,fvg,low,10.0,36.0,3.6,20.0,-20.0,no,loss,3209.35,0 days 00:12:47,below_2_hrs,12:00-16:00,Friday,October,2024,below_10_pips,above_35_pips,below_$20,above_3.2_rr
2024-11-14 13:52:01,2024-11-14 14:13:24,ny am,sell,ohlc,ny reversal,brkr,fvg,low,12.0,41.0,3.41667,24.0,-24.0,no,loss,3185.35,0 days 00:21:23,below_2_hrs,12:00-16:00,Thursday,November,2024,10_to_12_pips,above_35_pips,$20_to_$25,above_3.2_rr
