Trade_open,Trade_close,Session,Position,Bias,Profile,Entry,Confirmation,Fvg_level,Stop_loss_pips,Take_profit_pips,Risk_to_reward,Risk_usd,Profit_loss,Trail_stop,Outcome,Balance,Duration,Duration_binned,Time_window,Day,Month,Year,Stop_loss_binned,Take_profit_binned,Risk_usd_binned,Risk_to_reward_binned
2025-03-04 16:10:41,2025-03-04 16:11:50,ny pm,sell,ohlc,ny reversal,ob,fvg,low,10.0,24.0,2.4,20.0,-20.0,no,loss,3057.35,0 days 00:01:09,below_2_hrs,16:00-20:00,Tuesday,March,2025,below_10_pips,21_to_35_pips,below_$20,2_to_2.6_rr
2025-03-04 16:29:05,2025-03-04 16:42:02,ny pm,sell,ohlc,ny reversal,ob,fvg,medium,10.0,21.0,2.1,20.0,-20.0,no,loss,3037.35,0 days 00:12:57,below_2_hrs,16:00-20:00,Tuesday,March,2025,below_10_pips,below_21_pips,below_$20,2_to_2.6_rr
2025-03-07 14:04:55,2025-03-07 14:09:22,ny am,sell,ohlc,london reversal,brkr,eq,,10.0,26.0,2.6,20.0,-20.0,no,loss,3017.35,0 days 00:04:27,below_2_hrs,12:00-16:00,Friday,March,2025,below_10_pips,21_to_35_pips,below_$20,2_to_2.6_rr
2025-03-27 14:28:00,2025-03-27 14:38:20,ny am,sell,ohlc,ny reversal,brkr,eq,,10.0,30.0,3.0,20.0,-20.0,no,loss,2997.35,0 days 00:10:20,below_2_hrs,12:00-16:00,Thursday,March,2025,below_10_pips,21_to_35_pips,below_$20,2.6_to_3.2_rr
2025-04-01 14:31:57,2025-04-01 14:38:30,ny am,sell,ohlc,london reversal,brkr,eq,,9.0,20.0,2.22222,18.0,-18.0,no,loss,2979.35,0 days 00:06:33,below_2_hrs,12:00-16:00,Tuesday,April,2025,below_10_pips,below_21_pips,below_$20,2_to_2.6_rr
2025-04-09 16:10:45,2025-04-09 16:11:14,ny pm,sell,ohlc,london reversal,brkr,eq,,8.0,20.0,2.5,16.0,-16.0,no,loss,2963.35,0 days 00:00:29,below_2_hrs,16:00-20:00,Wednesday,April,2025,below_10_pips,below_21_pips,below_$20,2_to_2.6_rr
2025-04-09 16:32:15,2025-04-09 16:35:48,ny pm,sell,ohlc,london reversal,brkr,eq,,10.0,18.0,1.8,20.0,-20.0,no,loss,2943.35,0 days 00:03:33,below_2_hrs,16:00-20:00,Wednesday,April,2025,below_10_pips,below_21_pips,below_$20,0_to_2_rr
2025-04-18 13:11:53,2025-04-18 14:48:26,ny am,buy,olhc,london reversal,brkr,eq,,14.0,40.0,2.85714,28.0,14.0,yes,win,2957.35,0 days 01:36:33,below_2_hrs,12:00-16:00,Friday,April,2025,above_12_pips,above_35_pips,above_$25,2.6_to_3.2_rr
2025-04-23 14:47:57,2025-04-23 19:17:48,ny am,sell,ohlc,london reversal,brkr,fvg,medium,10.0,50.0,5.0,20.0,56.0,yes,win,3013.35,0 days 04:29:51,above_2_hrs,12:00-16:00,Wednesday,April,2025,below_10_pips,above_35_pips,below_$20,above_3.2_rr
2025-04-24 15:55:54,2025-04-24 16:20:10,ny am,sell,ohlc,ny reversal,brkr,eq,,11.0,35.0,3.18182,22.0,-22.0,no,loss,2991.35,0 days 00:24:16,below_2_hrs,12:00-16:00,Thursday,April,2025,10_to_12_pips,21_to_35_pips,$20_to_$25,2.6_to_3.2_rr
2025-04-25 14:58:45,2025-04-25 15:06:41,ny am,buy,olhc,london reversal,brkr,eq,,10.0,25.0,2.5,20.0,-20.0,no,loss,2971.35,0 days 00:07:56,below_2_hrs,12:00-16:00,Friday,April,2025,below_10_pips,21_to_35_pips,below_$20,2_to_2.6_rr
2025-04-29 14:43:51,2025-04-29 14:52:06,ny am,buy,olhc,london reversal,brkr,eq,,10.0,42.0,4.2,20.0,-20.0,no,loss,2951.35,0 days 00:08:15,below_2_hrs,12:00-16:00,Tuesday,April,2025,below_10_pips,above_35_pips,below_$20,above_3.2_rr
2025-04-29 17:07:04,2025-04-29 17:39:04,ny pm,buy,olhc,london reversal,brkr,eq,,10.0,39.0,3.9,10.0,1.0,no,win,2952.35,0 days 00:32:00,below_2_hrs,16:00-20:00,Tuesday,April,2025,below_10_pips,above_35_pips,below_$20,above_3.2_rr
2025-05-07 15:04:20,2025-05-07 15:20:39,ny am,buy,olhc,london reversal,brkr,eq,,9.0,40.0,4.44444,18.0,-18.0,no,loss,2934.35,0 days 00:16:19,below_2_hrs,12:00-16:00,Wednesday,May,2025,below_10_pips,above_35_pips,below_$20,above_3.2_rr
2025-08-26 14:06:55,2025-08-26 14:13:21,ny am,buy,olhc,london reversal,ob,eq,,12.3,36.0,2.92683,24.6,-24.6,no,loss,2918.75,0 days 00:06:26,below_2_hrs,12:00-16:00,Tuesday,August,2025,above_12_pips,above_35_pips,$20_to_$25,2.6_to_3.2_rr
2025-08-26 14:39:54,2025-08-26 18:01:34,ny am,buy,olhc,london reversal,brkr,eq,,10.0,32.4,3.24,10.0,-10.0,no,loss,2910.48,0 days 03:21:40,above_2_hrs,12:00-16:00,Tuesday,August,2025,below_10_pips,21_to_35_pips,below_$20,above_3.2_rr
2025-08-28 14:43:07,2025-08-28 14:49:49,ny am,buy,olhc,london reversal,brkr,fvg,low,10.0,23.0,2.3,20.0,-20.0,no,loss,2893.27,0 days 00:06:42,below_2_hrs,12:00-16:00,Thursday,August,2025,below_10_pips,21_to_35_pips,below_$20,2_to_2.6_rr
2025-08-29 14:52:05,2025-08-29 14:56:34,ny am,buy,olhc,london reversal,brkr,eq,,10.0,21.4,2.14,10.0,21.5,no,win,2914.77,0 days 00:04:29,below_2_hrs,12:00-16:00,Friday,August,2025,below_10_pips,21_to_35_pips,below_$20,2_to_2.6_rr
2025-09-02 15:13:15,2025-09-02 17:29:14,ny am,buy,olhc,london reversal,brkr,fvg,medium,14.1,51.9,3.68085,15.0,6.5,no,win,2921.27,0 days 02:15:59,above_2_hrs,12:00-16:00,Tuesday,September,2025,above_12_pips,above_35_pips,below_$20,above_3.2_rr
2025-09-04 13:42:54,2025-09-04 14:00:06,ny am,buy,olhc,london reversal,ob,eq,,9.6,22.3,2.32292,19.2,-19.2,no,loss,2938.67,0 days 00:17:12,below_2_hrs,12:00-16:00,Thursday,September,2025,below_10_pips,21_to_35_pips,below_$20,2_to_2.6_rr
